name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Thiago,Fc Liverpool,Spain,Italy,Midfield,Central Midfield,Right,174,18000000.0,GB1,32.0
Emiliano Martínez,Aston Villa,Argentina,Argentina,Goalkeeper,,Right,195,28000000.0,GB1,31.0
Naby Keïta,Fc Liverpool,Guinea,Guinea,Midfield,Central Midfield,Right,172,20000000.0,GB1,28.0
Curtis Jones,Fc Liverpool,England,England,Midfield,Central Midfield,Right,185,22000000.0,GB1,22.0
Trent Alexander-Arnold,Fc Liverpool,England,England,Defender,Right-Back,Right,180,70000000.0,GB1,25.0
Luis Díaz,Fc Liverpool,Colombia,Colombia,Attack,Left Winger,Right,180,75000000.0,GB1,26.0
Jordan Henderson,Fc Liverpool,England,England,Midfield,Central Midfield,Right,187,15000000.0,GB1,33.0
Konstantinos Tsimikas,Fc Liverpool,Greece,Greece,Defender,Left-Back,Left,179,18000000.0,GB1,27.0
Andrew Robertson,Fc Liverpool,Scotland,Scotland,Defender,Left-Back,Left,178,55000000.0,GB1,29.0
Neco Williams,Fc Liverpool,Wales,Wales,Defender,Right-Back,Right,183,18000000.0,GB1,22.0
Joel Matip,Fc Liverpool,Cameroon,Germany,Defender,Centre-Back,Right,195,16000000.0,GB1,32.0
Fabinho,Fc Liverpool,Brazil,Brazil,Midfield,Defensive Midfield,Right,188,55000000.0,GB1,30.0
Ibrahima Konaté,Fc Liverpool,France,France,Defender,Centre-Back,Right,194,35000000.0,GB1,24.0
Virgil van Dijk,Fc Liverpool,Netherlands,Netherlands,Defender,Centre-Back,Right,193,50000000.0,GB1,32.0
Alisson,Fc Liverpool,Brazil,Brazil,Goalkeeper,,Right,193,50000000.0,GB1,31.0
Joe Gomez,Fc Liverpool,England,England,Defender,Centre-Back,Right,188,30000000.0,GB1,26.0
Marcus Rashford,Manchester United,England,England,Attack,Left Winger,Right,185,55000000.0,GB1,26.0
Anthony Elanga,Manchester United,Sweden,Sweden,Attack,Left Winger,Right,178,25000000.0,GB1,21.0
Jesse Lingard,Manchester United,England,England,Attack,Attacking Midfield,Right,174,14000000.0,GB1,31.0
Jadon Sancho,Manchester United,England,England,Attack,Left Winger,Right,180,60000000.0,GB1,23.0
Fred,Manchester United,Brazil,Brazil,Midfield,Central Midfield,Left,169,20000000.0,GB1,30.0
Paul Pogba,Manchester United,France,France,Midfield,Central Midfield,Both,191,35000000.0,GB1,30.0
Sadio Mané,Fc Liverpool,Senegal,Senegal,Attack,Left Winger,Right,174,60000000.0,GB1,31.0
Andreas Pereira,Manchester United,Brazil,Belgium,Attack,Attacking Midfield,Right,178,13000000.0,GB1,27.0
Anthony Martial,Manchester United,France,France,Attack,Centre-Forward,Right,181,15000000.0,GB1,28.0
Luke Shaw,Manchester United,England,England,Defender,Left-Back,Left,178,28000000.0,GB1,28.0
Harry Maguire,Manchester United,England,England,Defender,Centre-Back,Right,194,30000000.0,GB1,30.0
Victor Lindelöf,Manchester United,Sweden,Sweden,Defender,Centre-Back,Right,187,15000000.0,GB1,29.0
Raphaël Varane,Manchester United,France,France,Defender,Centre-Back,Right,191,40000000.0,GB1,30.0
Scott McTominay,Manchester United,Scotland,England,Midfield,Defensive Midfield,Right,191,30000000.0,GB1,27.0
David de Gea,Manchester United,Spain,Spain,Goalkeeper,,Right,189,15000000.0,GB1,33.0
Dean Henderson,Manchester United,England,England,Goalkeeper,,Right,188,22000000.0,GB1,26.0
James Garner,Manchester United,England,England,Midfield,Defensive Midfield,Right,182,14000000.0,GB1,22.0
Bruno Fernandes,Manchester United,Portugal,Portugal,Attack,Attacking Midfield,Right,179,75000000.0,GB1,29.0
Pierre-Emerick Aubameyang,Fc Arsenal,Gabon,France,Attack,Centre-Forward,Right,186,12000000.0,GB1,34.0
Eddie Nketiah,Fc Arsenal,England,England,Attack,Centre-Forward,Right,175,18000000.0,GB1,24.0
Gabriel Martinelli,Fc Arsenal,Brazil,Brazil,Attack,Left Winger,Right,178,60000000.0,GB1,22.0
Nicolas Pépé,Fc Arsenal,Cote d'Ivoire,France,Attack,Right Winger,Left,183,22000000.0,GB1,28.0
Emile Smith Rowe,Fc Arsenal,England,England,Attack,Attacking Midfield,Right,182,38000000.0,GB1,23.0
Nuno Tavares,Fc Arsenal,Portugal,Portugal,Midfield,Left Midfield,Left,183,18000000.0,GB1,23.0
Bukayo Saka,Fc Arsenal,England,England,Midfield,Right Midfield,Left,178,100000000.0,GB1,22.0
Albert Sambi Lokonga,Fc Arsenal,Belgium,Belgium,Midfield,Central Midfield,Right,183,15000000.0,GB1,24.0
Alex Telles,Manchester United,Brazil,Brazil,Defender,Left-Back,Left,181,14000000.0,GB1,31.0
Alexandre Lacazette,Fc Arsenal,France,France,Attack,Centre-Forward,Right,176,12000000.0,GB1,32.0
Granit Xhaka,Fc Arsenal,Switzerland,Switzerland,Midfield,Defensive Midfield,Left,186,28000000.0,GB1,31.0
Thomas Partey,Fc Arsenal,Ghana,Ghana,Midfield,Defensive Midfield,Right,185,38000000.0,GB1,30.0
Kieran Tierney,Fc Arsenal,Scotland,Isle of Man,Defender,Left-Back,Left,180,30000000.0,GB1,26.0
Gabriel Magalhães,Fc Arsenal,Brazil,Brazil,Defender,Centre-Back,Left,190,40000000.0,GB1,26.0
Diogo Dalot,Manchester United,Portugal,Portugal,Defender,Right-Back,Right,183,32000000.0,GB1,24.0
Aaron Wan-Bissaka,Manchester United,England,England,Defender,Right-Back,Right,183,18000000.0,GB1,26.0
Ben White,Fc Arsenal,England,England,Defender,Centre-Back,Right,186,45000000.0,GB1,26.0
Aaron Ramsdale,Fc Arsenal,England,England,Goalkeeper,,Right,190,30000000.0,GB1,25.0
Héctor Bellerín,Fc Arsenal,Spain,Spain,Defender,Right-Back,Right,177,15000000.0,GB1,28.0
Martin Ødegaard,Fc Arsenal,Norway,Norway,Attack,Attacking Midfield,Left,178,60000000.0,GB1,25.0
Iñaki Williams,Athletic Bilbao,Ghana,Spain,Attack,Centre-Forward,Right,186,25000000.0,ES1,29.0
Nico Williams,Athletic Bilbao,Spain,Spain,Attack,Right Winger,Right,181,25000000.0,ES1,21.0
Álex Berenguer,Athletic Bilbao,Spain,Spain,Attack,Left Winger,Right,175,15000000.0,ES1,28.0
Kelechi Iheanacho,Leicester City,Nigeria,Nigeria,Attack,Centre-Forward,Left,185,17000000.0,GB1,27.0
Iker Muniain,Athletic Bilbao,Spain,Spain,Attack,Attacking Midfield,Right,169,14000000.0,ES1,31.0
Ademola Lookman,Leicester City,Nigeria,England,Attack,Left Winger,Right,174,20000000.0,GB1,26.0
Kiernan Dewsbury-Hall,Leicester City,England,England,Midfield,Central Midfield,Left,178,20000000.0,GB1,25.0
Harvey Barnes,Leicester City,England,England,Midfield,Left Midfield,Right,182,32000000.0,GB1,26.0
Boubakary Soumaré,Leicester City,France,France,Midfield,Defensive Midfield,Right,188,25000000.0,GB1,24.0
Wilfred Ndidi,Leicester City,Nigeria,Nigeria,Midfield,Defensive Midfield,Right,183,40000000.0,GB1,27.0
James Justin,Leicester City,England,England,Defender,Right-Back,Right,183,25000000.0,GB1,25.0
Ricardo Pereira,Leicester City,Portugal,Portugal,Defender,Right-Back,Right,175,12000000.0,GB1,30.0
Timothy Castagne,Leicester City,Belgium,Belgium,Defender,Right-Back,Right,185,28000000.0,GB1,28.0
Patson Daka,Leicester City,Zambia,Zambia,Attack,Centre-Forward,Right,183,20000000.0,GB1,25.0
Wesley Fofana,Leicester City,France,France,Defender,Centre-Back,Right,186,65000000.0,GB1,23.0
Youri Tielemans,Leicester City,Belgium,Belgium,Midfield,Central Midfield,Right,176,40000000.0,GB1,26.0
Fran Beltrán,Celta Vigo,Spain,Spain,Midfield,Central Midfield,Right,165,15000000.0,ES1,24.0
Brais Méndez,Celta Vigo,Spain,Spain,Midfield,Central Midfield,Left,184,30000000.0,ES1,26.0
Javi Galán,Celta Vigo,Spain,Spain,Defender,Left-Back,Left,172,12000000.0,ES1,29.0
Daniel Amartey,Leicester City,Ghana,Ghana,Defender,Centre-Back,Right,186,15000000.0,GB1,29.0
Unai Vencedor,Athletic Bilbao,Spain,Spain,Midfield,Central Midfield,Right,176,14000000.0,ES1,23.0
Oihan Sancet,Athletic Bilbao,Spain,Spain,Midfield,Central Midfield,Right,188,20000000.0,ES1,23.0
Yeray Álvarez,Athletic Bilbao,Spain,Spain,Defender,Centre-Back,Right,182,15000000.0,ES1,28.0
Iñigo Martínez,Athletic Bilbao,Spain,Spain,Defender,Centre-Back,Left,182,18000000.0,ES1,32.0
Unai Simón,Athletic Bilbao,Spain,Spain,Goalkeeper,,Right,190,25000000.0,ES1,26.0
Dani Vivian,Athletic Bilbao,Spain,Spain,Defender,Centre-Back,Right,184,14000000.0,ES1,24.0
James Maddison,Leicester City,England,England,Attack,Attacking Midfield,Right,175,55000000.0,GB1,27.0
Caglar Söyüncü,Leicester City,Turkey,Turkey,Defender,Centre-Back,Right,187,22000000.0,GB1,27.0
Yunus Musah,Fc Valencia,United States,United States,Midfield,Central Midfield,Right,178,25000000.0,ES1,21.0
Carlos Soler,Fc Valencia,Spain,Spain,Midfield,Central Midfield,Right,180,35000000.0,ES1,26.0
Hugo Guillamón,Fc Valencia,Spain,Spain,Midfield,Defensive Midfield,Right,178,25000000.0,ES1,23.0
Thierry Correia,Fc Valencia,Portugal,Portugal,Defender,Right-Back,Right,176,14000000.0,ES1,24.0
Gonçalo Guedes,Fc Valencia,Portugal,Portugal,Attack,Left Winger,Right,179,32000000.0,ES1,27.0
Bryan Gil,Fc Valencia,Spain,Spain,Attack,Left Winger,Left,175,12000000.0,ES1,22.0
José Gayà,Fc Valencia,Spain,Spain,Defender,Left-Back,Left,172,40000000.0,ES1,28.0
Giorgi Mamardashvili,Fc Valencia,Georgia,Georgia,Goalkeeper,,Left,197,25000000.0,ES1,23.0
Youssef En-Nesyri,Fc Sevilla,Morocco,Morocco,Attack,Centre-Forward,Left,192,15000000.0,ES1,26.0
Tecatito,Fc Sevilla,Mexico,Mexico,Attack,Right Winger,Both,173,14000000.0,ES1,30.0
Lucas Ocampos,Fc Sevilla,Argentina,Argentina,Attack,Left Winger,Both,187,18000000.0,ES1,29.0
Rafa Mir,Fc Sevilla,Spain,Spain,Attack,Centre-Forward,Right,191,12000000.0,ES1,26.0
Joan Jordán,Fc Sevilla,Spain,Spain,Midfield,Central Midfield,Right,185,14000000.0,ES1,29.0
Gonzalo Montiel,Fc Sevilla,Argentina,Argentina,Defender,Right-Back,Right,175,12000000.0,ES1,26.0
Diego Carlos,Fc Sevilla,Brazil,Brazil,Defender,Centre-Back,Right,185,30000000.0,ES1,30.0
Jules Koundé,Fc Sevilla,France,France,Defender,Centre-Back,Right,180,60000000.0,ES1,25.0
Erik Lamela,Fc Sevilla,Argentina,Argentina,Attack,Right Winger,Left,184,14000000.0,ES1,31.0
Bono,Fc Sevilla,Morocco,Canada,Goalkeeper,,Left,192,15000000.0,ES1,32.0
Enes Ünal,Fc Getafe,Turkey,Turkey,Attack,Centre-Forward,Right,187,25000000.0,ES1,26.0
Marcos Acuña,Fc Sevilla,Argentina,Argentina,Defender,Left-Back,Left,172,14000000.0,ES1,32.0
Mauro Arambarri,Fc Getafe,Uruguay,Uruguay,Midfield,Central Midfield,Right,175,15000000.0,ES1,28.0
Florentino,Fc Getafe,Portugal,Angola,Midfield,Defensive Midfield,Right,184,15000000.0,ES1,24.0
Mathías Olivera,Fc Getafe,Uruguay,Uruguay,Defender,Left-Back,Left,185,15000000.0,ES1,26.0
Callum Wilson,Newcastle United,England,England,Attack,Centre-Forward,Right,180,18000000.0,GB1,31.0
Miguel Almirón,Newcastle United,Paraguay,Paraguay,Attack,Right Winger,Left,174,20000000.0,GB1,29.0
Joelinton,Newcastle United,Brazil,Brazil,Attack,Attacking Midfield,Right,186,32000000.0,GB1,27.0
Allan Saint-Maximin,Newcastle United,France,France,Attack,Left Winger,Right,173,40000000.0,GB1,26.0
Kieran Trippier,Newcastle United,England,England,Defender,Right-Back,Right,173,13000000.0,GB1,33.0
Joe Willock,Newcastle United,England,England,Midfield,Central Midfield,Right,186,30000000.0,GB1,24.0
Bruno Guimarães,Newcastle United,Brazil,Brazil,Midfield,Defensive Midfield,Right,182,60000000.0,GB1,26.0
Sean Longstaff,Newcastle United,England,England,Midfield,Central Midfield,Right,181,22000000.0,GB1,26.0
Raúl de Tomás,Espanyol Barcelona,Spain,Spain,Attack,Centre-Forward,Right,180,12000000.0,ES1,29.0
Jon Moncayola,Ca Osasuna,Spain,Spain,Midfield,Central Midfield,Right,182,12000000.0,ES1,25.0
David García,Ca Osasuna,Spain,Spain,Defender,Centre-Back,Both,186,20000000.0,ES1,29.0
Sergi Darder,Espanyol Barcelona,Spain,Spain,Midfield,Central Midfield,Right,180,14000000.0,ES1,30.0
Harry Kane,Tottenham Hotspur,England,England,Attack,Centre-Forward,Right,188,90000000.0,GB1,30.0
Ferran Jutglà,Fc Barcelona,Spain,Spain,Attack,Centre-Forward,Right,175,14000000.0,ES1,24.0
Dodi Lukébakio,Hertha Bsc,Belgium,Belgium,Attack,Right Winger,Left,187,12000000.0,L1,26.0
Lucas Tousart,Hertha Bsc,France,France,Midfield,Defensive Midfield,Right,185,11000000.0,L1,26.0
Reece Oxford,Fc Augsburg,England,England,Defender,Centre-Back,Right,190,12000000.0,L1,25.0
Taiwo Awoniyi,1 Fc Union Berlin,Nigeria,Nigeria,Attack,Centre-Forward,Right,183,20000000.0,L1,26.0
Sheraldo Becker,1 Fc Union Berlin,Suriname,Netherlands,Attack,Second Striker,Right,180,15000000.0,L1,28.0
Robert Andrich,1 Fc Union Berlin,Germany,Germany,Midfield,Central Midfield,Right,187,11000000.0,L1,29.0
Matheus Cunha,Atletico Madrid,Brazil,Brazil,Attack,Centre-Forward,Right,184,20000000.0,ES1,24.0
João Félix,Atletico Madrid,Portugal,Portugal,Attack,Second Striker,Both,181,50000000.0,ES1,24.0
Ángel Correa,Atletico Madrid,Argentina,Argentina,Attack,Right Winger,Right,171,40000000.0,ES1,28.0
Yannick Carrasco,Atletico Madrid,Belgium,Belgium,Attack,Left Winger,Right,181,30000000.0,ES1,30.0
Thomas Lemar,Atletico Madrid,France,Guadeloupe,Attack,Attacking Midfield,Left,171,30000000.0,ES1,28.0
Koke,Atletico Madrid,Spain,Spain,Midfield,Central Midfield,Right,176,18000000.0,ES1,31.0
Rodrigo de Paul,Atletico Madrid,Argentina,Argentina,Midfield,Central Midfield,Right,180,40000000.0,ES1,29.0
Geoffrey Kondogbia,Atletico Madrid,Central African Republic,France,Midfield,Defensive Midfield,Left,188,20000000.0,ES1,30.0
Reinildo Mandava,Atletico Madrid,Mozambique,Mozambique,Defender,Left-Back,Left,180,25000000.0,ES1,29.0
Renan Lodi,Atletico Madrid,Brazil,Brazil,Defender,Left-Back,Left,173,20000000.0,ES1,25.0
Mario Hermoso,Atletico Madrid,Spain,Spain,Defender,Centre-Back,Left,184,14000000.0,ES1,28.0
Jan Oblak,Atletico Madrid,Slovenia,Slovenia,Goalkeeper,,Right,188,40000000.0,ES1,30.0
José María Giménez,Atletico Madrid,Uruguay,Uruguay,Defender,Centre-Back,Right,185,40000000.0,ES1,28.0
Marcos Llorente,Atletico Madrid,Spain,Spain,Midfield,Central Midfield,Right,184,35000000.0,ES1,28.0
Jarrod Bowen,West Ham United,England,England,Attack,Right Winger,Left,182,42000000.0,GB1,27.0
Pablo Fornals,West Ham United,Spain,Spain,Attack,Attacking Midfield,Right,178,25000000.0,GB1,27.0
Nikola Vlasic,West Ham United,Croatia,Croatia,Attack,Attacking Midfield,Right,178,20000000.0,GB1,26.0
Saïd Benrahma,West Ham United,Algeria,Algeria,Attack,Left Winger,Right,172,22000000.0,GB1,28.0
Tomas Soucek,West Ham United,Czech Republic,Czech Republic,Midfield,Defensive Midfield,Right,192,45000000.0,GB1,28.0
Ben Johnson,West Ham United,England,England,Defender,Right-Back,Right,184,12000000.0,GB1,23.0
Declan Rice,West Ham United,England,England,Midfield,Defensive Midfield,Right,188,80000000.0,GB1,24.0
Issa Diop,West Ham United,France,France,Defender,Centre-Back,Right,194,15000000.0,GB1,26.0
Karim Benzema,Real Madrid,France,France,Attack,Centre-Forward,Right,185,35000000.0,ES1,36.0
Marco Asensio,Real Madrid,Spain,Spain,Attack,Right Winger,Left,182,25000000.0,ES1,27.0
Rodrygo,Real Madrid,Brazil,Brazil,Attack,Right Winger,Right,174,80000000.0,ES1,22.0
Eduardo Camavinga,Real Madrid,France,Angola,Midfield,Central Midfield,Left,182,50000000.0,ES1,21.0
Federico Valverde,Real Madrid,Uruguay,Uruguay,Midfield,Central Midfield,Right,182,100000000.0,ES1,25.0
Casemiro,Real Madrid,Brazil,Brazil,Midfield,Defensive Midfield,Right,185,50000000.0,ES1,31.0
Vinicius Junior,Real Madrid,Brazil,Brazil,Attack,Left Winger,Right,176,120000000.0,ES1,23.0
Toni Kroos,Real Madrid,Germany,DDR,Midfield,Central Midfield,Right,183,20000000.0,ES1,33.0
Ferland Mendy,Real Madrid,France,France,Defender,Left-Back,Left,180,40000000.0,ES1,28.0
David Alaba,Real Madrid,Austria,Austria,Defender,Centre-Back,Left,180,55000000.0,ES1,31.0
Daniel Carvajal,Real Madrid,Spain,Spain,Defender,Right-Back,Right,173,18000000.0,ES1,31.0
Éder Militão,Real Madrid,Brazil,Brazil,Defender,Centre-Back,Right,186,60000000.0,ES1,25.0
Thibaut Courtois,Real Madrid,Belgium,Belgium,Goalkeeper,,Left,200,60000000.0,ES1,31.0
Memphis Depay,Fc Barcelona,Netherlands,Netherlands,Attack,Centre-Forward,Right,178,20000000.0,ES1,29.0
Antoine Griezmann,Fc Barcelona,France,France,Attack,Second Striker,Left,176,25000000.0,ES1,32.0
Ousmane Dembélé,Fc Barcelona,France,France,Attack,Right Winger,Both,178,60000000.0,ES1,26.0
Ansu Fati,Fc Barcelona,Spain,Guinea-Bissau,Attack,Left Winger,Right,178,50000000.0,ES1,21.0
Luka Jović,Real Madrid,Serbia,Bosnia-Herzegovina,Attack,Centre-Forward,Both,182,14000000.0,ES1,26.0
Gavi,Fc Barcelona,Spain,Spain,Midfield,Central Midfield,Right,173,90000000.0,ES1,19.0
Frenkie de Jong,Fc Barcelona,Netherlands,Netherlands,Midfield,Central Midfield,Right,181,50000000.0,ES1,26.0
Pedri,Fc Barcelona,Spain,Spain,Midfield,Central Midfield,Right,174,100000000.0,ES1,21.0
Sergiño Dest,Fc Barcelona,United States,Netherlands,Defender,Right-Back,Right,171,16000000.0,ES1,23.0
Alejandro Balde,Fc Barcelona,Spain,Spain,Defender,Left-Back,Left,175,15000000.0,ES1,20.0
Clément Lenglet,Fc Barcelona,France,France,Defender,Centre-Back,Left,186,12000000.0,ES1,28.0
Ronald Araújo,Fc Barcelona,Uruguay,Uruguay,Defender,Centre-Back,Right,188,60000000.0,ES1,24.0
Marc-André ter Stegen,Fc Barcelona,Germany,Germany,Goalkeeper,,Right,187,30000000.0,ES1,31.0
Nico González,Fc Barcelona,Spain,Spain,Midfield,Central Midfield,Right,188,14000000.0,ES1,21.0
Eric García,Fc Barcelona,Spain,Spain,Defender,Centre-Back,Right,182,18000000.0,ES1,22.0
Steven Bergwijn,Tottenham Hotspur,Netherlands,Netherlands,Attack,Left Winger,Right,178,27000000.0,GB1,26.0
Heung-min Son,Tottenham Hotspur,"Korea, South","Korea, South",Attack,Left Winger,Both,184,70000000.0,GB1,31.0
Ryan Sessegnon,Tottenham Hotspur,England,England,Midfield,Left Midfield,Left,178,22000000.0,GB1,23.0
Giovani Lo Celso,Tottenham Hotspur,Argentina,Argentina,Midfield,Central Midfield,Left,177,22000000.0,GB1,27.0
Tanguy Ndombélé,Tottenham Hotspur,France,France,Midfield,Central Midfield,Right,181,28000000.0,GB1,27.0
Pierre-Emile Höjbjerg,Tottenham Hotspur,Denmark,Denmark,Midfield,Central Midfield,Right,185,45000000.0,GB1,28.0
Harry Winks,Tottenham Hotspur,England,England,Midfield,Defensive Midfield,Right,178,12000000.0,GB1,27.0
Oliver Skipp,Tottenham Hotspur,England,England,Midfield,Defensive Midfield,Right,175,15000000.0,GB1,23.0
Lucas Moura,Tottenham Hotspur,Brazil,Brazil,Attack,Right Winger,Right,172,12000000.0,GB1,31.0
Ben Davies,Tottenham Hotspur,Wales,Wales,Defender,Left-Back,Left,181,20000000.0,GB1,30.0
Emerson Royal,Tottenham Hotspur,Brazil,Brazil,Defender,Right-Back,Right,183,30000000.0,GB1,24.0
Matt Doherty,Tottenham Hotspur,Ireland,Ireland,Defender,Right-Back,Right,185,12000000.0,GB1,31.0
Eric Dier,Tottenham Hotspur,England,England,Defender,Centre-Back,Right,188,30000000.0,GB1,29.0
Davinson Sánchez,Tottenham Hotspur,Colombia,Colombia,Defender,Centre-Back,Right,187,25000000.0,GB1,27.0
Sergio Reguilón,Tottenham Hotspur,Spain,Spain,Defender,Left-Back,Left,178,20000000.0,GB1,27.0
Cristian Romero,Tottenham Hotspur,Argentina,Argentina,Defender,Centre-Back,Right,185,60000000.0,GB1,25.0
Mikel Oyarzabal,Real Sociedad San Sebastian,Spain,Spain,Attack,Left Winger,Left,181,60000000.0,ES1,26.0
Mikel Merino,Real Sociedad San Sebastian,Spain,Spain,Midfield,Central Midfield,Left,189,50000000.0,ES1,27.0
Alexander Isak,Real Sociedad San Sebastian,Sweden,Sweden,Attack,Centre-Forward,Right,192,50000000.0,ES1,24.0
Martín Zubimendi,Real Sociedad San Sebastian,Spain,Spain,Midfield,Defensive Midfield,Right,181,40000000.0,ES1,24.0
Aritz Elustondo,Real Sociedad San Sebastian,Spain,Spain,Defender,Centre-Back,Right,182,14000000.0,ES1,29.0
Robin Le Normand,Real Sociedad San Sebastian,France,France,Defender,Centre-Back,Right,187,35000000.0,ES1,27.0
Álex Remiro,Real Sociedad San Sebastian,Spain,Spain,Goalkeeper,,Right,191,25000000.0,ES1,28.0
Nicolas Jackson,Fc Villarreal,Senegal,The Gambia,Attack,Centre-Forward,Right,188,15000000.0,ES1,22.0
Lukas Nmecha,Vfl Wolfsburg,Germany,Germany,Attack,Centre-Forward,Right,185,18000000.0,L1,25.0
Igor Zubeldia,Real Sociedad San Sebastian,Spain,Spain,Defender,Centre-Back,Right,181,15000000.0,ES1,26.0
André Silva,Rasenballsport Leipzig,Portugal,Portugal,Attack,Centre-Forward,Right,185,24000000.0,L1,28.0
Brian Brobbey,Rasenballsport Leipzig,Netherlands,Netherlands,Attack,Centre-Forward,Right,180,14000000.0,L1,21.0
Christopher Nkunku,Rasenballsport Leipzig,France,France,Attack,Second Striker,Right,178,80000000.0,L1,26.0
Thomas Müller,Fc Bayern Munchen,Germany,Germany,Attack,Second Striker,Right,185,18000000.0,L1,34.0
Robert Lewandowski,Fc Bayern Munchen,Poland,Poland,Attack,Centre-Forward,Right,185,45000000.0,L1,35.0
Kingsley Coman,Fc Bayern Munchen,France,France,Attack,Right Winger,Right,180,60000000.0,L1,27.0
Leroy Sané,Fc Bayern Munchen,Germany,Germany,Attack,Left Winger,Left,183,70000000.0,L1,27.0
Corentin Tolisso,Fc Bayern Munchen,France,France,Midfield,Central Midfield,Right,181,14000000.0,L1,29.0
Marc Roca,Fc Bayern Munchen,Spain,Spain,Midfield,Defensive Midfield,Left,184,12000000.0,L1,27.0
Joshua Kimmich,Fc Bayern Munchen,Germany,Germany,Midfield,Defensive Midfield,Right,177,80000000.0,L1,28.0
Benjamin Pavard,Fc Bayern Munchen,France,France,Defender,Right-Back,Right,186,35000000.0,L1,27.0
Alphonso Davies,Fc Bayern Munchen,Canada,Ghana,Defender,Left-Back,Left,185,70000000.0,L1,23.0
Sasa Kalajdzic,Vfb Stuttgart,Austria,Austria,Attack,Centre-Forward,Right,200,18000000.0,L1,26.0
Chris Richards,Fc Bayern Munchen,United States,United States,Defender,Centre-Back,Right,188,12000000.0,L1,23.0
Niklas Süle,Fc Bayern Munchen,Germany,Germany,Defender,Centre-Back,Right,195,35000000.0,L1,28.0
Dayot Upamecano,Fc Bayern Munchen,France,France,Defender,Centre-Back,Right,186,60000000.0,L1,25.0
Lucas Hernández,Fc Bayern Munchen,France,France,Defender,Centre-Back,Left,184,50000000.0,L1,27.0
Manuel Neuer,Fc Bayern Munchen,Germany,Germany,Goalkeeper,,Right,193,12000000.0,L1,37.0
Silas,Vfb Stuttgart,DR Congo,DR Congo,Midfield,Right Midfield,Right,189,13000000.0,L1,25.0
Orel Mangala,Vfb Stuttgart,Belgium,Belgium,Midfield,Central Midfield,Right,178,12000000.0,L1,25.0
Borna Sosa,Vfb Stuttgart,Croatia,Croatia,Defender,Left-Back,Left,187,20000000.0,L1,25.0
Konstantinos Mavropanos,Vfb Stuttgart,Greece,Greece,Defender,Centre-Back,Right,194,15000000.0,L1,26.0
Dominik Szoboszlai,Rasenballsport Leipzig,Hungary,Hungary,Attack,Attacking Midfield,Right,187,35000000.0,L1,23.0
Dani Olmo,Rasenballsport Leipzig,Spain,Spain,Attack,Attacking Midfield,Right,179,40000000.0,L1,25.0
Serge Gnabry,Fc Bayern Munchen,Germany,Germany,Attack,Right Winger,Right,176,65000000.0,L1,28.0
Konrad Laimer,Rasenballsport Leipzig,Austria,Austria,Midfield,Central Midfield,Right,180,28000000.0,L1,26.0
Tyler Adams,Rasenballsport Leipzig,United States,United States,Midfield,Defensive Midfield,Right,175,17000000.0,L1,24.0
Leon Goretzka,Fc Bayern Munchen,Germany,Germany,Midfield,Central Midfield,Right,189,65000000.0,L1,28.0
Nordi Mukiele,Rasenballsport Leipzig,France,France,Defender,Right-Back,Right,187,20000000.0,L1,26.0
Lukas Klostermann,Rasenballsport Leipzig,Germany,Germany,Defender,Right-Back,Right,189,14000000.0,L1,27.0
Angeliño,Rasenballsport Leipzig,Spain,Spain,Defender,Left-Back,Left,171,20000000.0,L1,26.0
Josko Gvardiol,Rasenballsport Leipzig,Croatia,Croatia,Defender,Centre-Back,Left,185,75000000.0,L1,21.0
Mohamed Simakan,Rasenballsport Leipzig,France,France,Defender,Centre-Back,Right,187,28000000.0,L1,23.0
Marcel Sabitzer,Rasenballsport Leipzig,Austria,Austria,Midfield,Central Midfield,Right,177,20000000.0,L1,29.0
Jamal Musiala,Fc Bayern Munchen,Germany,Germany,Attack,Attacking Midfield,Right,184,100000000.0,L1,20.0
Amadou Haidara,Rasenballsport Leipzig,Mali,Mali,Midfield,Central Midfield,Right,175,17000000.0,L1,25.0
Maximilian Arnold,Vfl Wolfsburg,Germany,Germany,Midfield,Central Midfield,Left,184,17000000.0,L1,29.0
Maxence Lacroix,Vfl Wolfsburg,France,France,Defender,Centre-Back,Right,190,20000000.0,L1,23.0
Xaver Schlager,Vfl Wolfsburg,Austria,Austria,Midfield,Central Midfield,Left,174,22000000.0,L1,26.0
Ridle Baku,Vfl Wolfsburg,Germany,Germany,Defender,Right-Back,Right,176,13000000.0,L1,25.0
Boulaye Dia,Fc Villarreal,Senegal,France,Attack,Centre-Forward,Right,180,12000000.0,ES1,27.0
Gerard Moreno,Fc Villarreal,Spain,Spain,Attack,Centre-Forward,Left,180,35000000.0,ES1,31.0
Arnaut Danjuma,Fc Villarreal,Netherlands,Nigeria,Attack,Centre-Forward,Right,178,35000000.0,ES1,26.0
Yéremy Pino,Fc Villarreal,Spain,Spain,Attack,Right Winger,Right,172,38000000.0,ES1,21.0
